text,class
"i must admit , out of the eros movie collection , this has to be the one that i love the most as well as one other that i have also reviewed . the story is something that really keeps you watching . a lot of the eros films have",pos
"some people say the pace of this film is a little slow , but how is this different from any other hitchcock movie ? they all move very deliberately and , as a point , have spurts of suspense and brilliant montages injected through it . this movie gives us",pos
"this is my first cg animated film that i 've ever seen . usually , the look of other animated films made me reticent to see them . not ice age . i wanted to see it the moment i saw the trailer with scrat , the hilarious sabertooth squirrel",pos
"having seen other bollywood flicks with salman khan in them , i can say this is my favorite of the more recent ones . the songs are all quite fun , especially ' o priya o priya ' which seems to have a nice mix of beatles , indian music",pos
"warning ! this review will reveal the ending of the movie , `` scoop . '' if you do n't want to know how the movie ends , do n't read this review ! `` scoop '' is so bad you 'll think `` annie hall '' was a fluke",neg
"i do n't know why this has the fans it does and i do n't know why i have even given it the score i have . this is preposterous . there are many a giallo where one has to suspend disbelief , let the picture roll and catch up",neg
i just watched this movie in high definition on television . i am in a wheelchair due to a neuromuscular disorder and like to watch the few films made about those with physical disabilities . at first i found the main character somewhat noble and captivating . his message about,neg
"since watching the trailer in `` the little mermaid ii : return to the sea '' dvd , i had a feeling that this movie is gon na be great 'cause i am a huge disney fan . and guess what ? i 'm right ! this movie is a",pos
"i own this movie and have watched it several times throughout the years since it was released . prince does n't stun us with his phenomenal acting style or anything , he 's a musician and i feel like that is what he displayed here , he 's just the",pos
"the relationship between the lone ranger and tonto was always good for a snicker , but to take the joke out of the joke by building a movie around the gay appeal of the legend ... oh the horror , the horror ...",neg
"it 's a gentle , easy-going 1950s comedy . kim novak belongs to a coven of witches in manhattan . she puts a spell on neighbor jimmy stewart out of boredom but eventually falls in love with him , losing her powers . see , witches are permitted to have",pos
"days of heaven is one of the most painfully boring and pointless films i have ever seen . in no way , shape , or form would i recommend it to anyone ... unless you 're trying to put your kids to sleep or , god forbid , give someone",neg
"rented this tonite from my local video store . it was titled `` black horizon . '' i guess someone felt this was good enough for a 2004 re-release ... micheal dudikoff is unfortunetly not a ninja in this movie , one of the major flaws of this film right",neg
"first , i 'm sorry for my english . second , the true story of this episode : 39 soldiers , operation `` magistral ' '' . 6 soldiers were killed . hundreds of insurgents were killed too . within 10 years the soviet army has lost less than 15",neg
"the bevy of box office big league stars is phenomenal in this movie ! ! william baldwin , kiefer sutherland , kevin bacon and julia roberts ! ! this movie was made in one of my favorite years too , 1990 ! ! i am a chicagoan , and the",pos
"this movie has everything going for it : fully developed characters , a realistic portrayal of working washington , bathed in warmth and humor that is uniquely albert brooks . the dumbing down of network news is even more of an issue now than it was in 1987. remember ,",pos
i do n't know what that other guy was thinking . the fact that this movie was independently made makes it no less terrible . you can be as big a believer as you want ... the majority of this film is mindless drivel . i feel i have been,neg
there are no reasons to watch this movie . should you have won and extreme amount of money and having spent your time discovering life 's every pleasure and have come to a point where by chance you are at a loose end and have some time to kill (,neg
rosie wasted a lot of tv time talking about the tainos as if they were super influential in the dynamics of the modern day puerto rican . they were not . the truth is that the africans and the spanish were and she knows it . what kills me is,neg
"into a happy household comes the gypsy girl , played by myrna loy . with her amazingly wild hair and voice that sounds very high-pitched and weird , it 's hard to believe this is loy ! ! she bears no similarity whatsoever to the refined and funny character nora",neg
"when his in-laws are viciously murdered by a gang of thugs , a young deputy is ordered to escort his mute friend , forced to take the rap by the gang , to tucson for trial and ending up having to face the real killers along the way . the",neg
you probably heard this phrase when it come to this movie  `` herbie : fully loaded with crap '' and yes it is true . this movie is really dreadful and totally lame . this got to be the second worst movie lindsey is ever in since confession of,neg
"i bought this because it was $ 1.99 and harry carey was in it and a friend of mine was in it , and for $ 1.99 , how bad could it be ? then i read some comments here on the film and began to get excited -- maybe",neg
"i had high hopes for this one after reading earlier reviews but it was so slow and the plot so basic that well i wondered if i had read the wrong reviews . please , a boy meets girl next door at 11 and both aspire to love and being",neg
"the majority of stephen king 's short stories are little gems , with original ideas that do n't take a long time to develop ; basically lean and mean -- he sets them up quickly in a scarce number of pages , you read 'em , and you 're finished",neg
i was surprised when i saw this film . i 'd heard it was the best ever filmed of the novel . how disappointed i was . how any true jane austen fan can rate this adaptation is a mystery to my eyes . the scriptwriters have decided to stick,neg
"well , i 'll begin with this : i love horror-movies , not even the worst plot or the most insanely terrible acting will ruin the experience as long as there is a certain amount of gore and suspense present . second ; this is the worst movie of all",neg
"surely one the french films of the decade so far , a taut , atmospheric thriller making full use of the lead characters hearing impediment to use sound in a way rarely explored in cinema . emannuelle devos gives a truly stunning , multi-faceted performance , at times devious and",pos
"i get the feeling that the producers of this mess were out to make the most painful , ridiculous western ever made . `` painful '' is the best word i can think of to describe it . on the plus side you have nice color photography and beautiful and",neg
this one will get reviews all over the map because it does n't comfortably fit any mold . it 's horror -- but not a splatterfest . it 's equal part suspense as well as horror -- yet without the usual hollywood screams and jerky camera . the feel of,pos
"strained comedy , a sketch-like revue which was initially a vehicle to showcase one-time radio star jack pearl but is now best remembered as america 's introduction to the three stooges . actually , larry , curly and moe are billed alongside comic ted healy as ted healy and his",neg
"just the fact that the cover is a drawing , like those old b-movies should give you a warning about the quality of this movie . this is , however not a b-movie . it is a d-movie ! there are no known actors , and the animals - wow",neg
i heard about this series in 2001 which a friend of mine was recording off the television each week . i never bothered to watch though i became acquainted with the series through the magazine which i looked at every now and then in bookstores . i recently purchased series,pos
the director sidney j. furie has created in hollow point a post-modern absurdist masterpiece that challenges and constantly surprises the audience . sidney j. furie dares to ask the question of what happens to the tired conventional traditionalist paradigms of 'plot ' and 'characterisation ' when you remove the crutches,neg
"if you are the sort of person who can get a kick out of a very bad movie , then i highly recommend this one . if you are n't , stay away . this is an astonishingly cheap-looking movie , and at times you may find yourself wondering if",neg
"this movie reminded me of the live dramas of the 1950s- not like the recent `` failsafe '' , which seemed more of a stunt than anything else , but a true moral drama that is both engaging and thought-provoking . anne heche is more than credible as the army",pos
"this movie starts at a and never quite reaches b. its title promises far more than the film delivers . it 's superficial and filled with the usual cliches of a story in which a guy questions his sexuality . the people are agreeable , even the obligatory flamboyant type",neg
"when you 're making a thriller about witchcraft , i believe you should do everything you can to help the audience suspend its disbelief in order for the movie to work . some pictures ( `` rosemary 's baby '' , for example ) have accomplished this ; others (",neg
"an airplane transporting some scientists and a prototype of a dna machine , a powerful and revolutionary invent , fall in a jungle in pacific . the insurance company sponsors a rescue expedition , commanded by harlan knowles ( lance henriksen ) , the owner of a huge corporation ,",neg
"why on earth should you explore the mesmerizing nature documentary `` earth '' ? how much time do you have on earth so i can explain this to you ? ok , i will not elongate my review exploration on `` earth '' to infinity , but i must stand",pos
"i saw this film in a sneak preview , and it is delightful . the cinematography is unusually creative , the acting is good , and the story is fabulous . if this movie does not do well , it wo n't be because it does n't deserve to .",pos
"wow , stella shorts are great ! lots of patrons from the state and stella , the tv show . i never knew that stella could have gotten any better then they were on the tv show stella or even comedy central presents : stella . i also never knew",pos
"the widower family man dan burns ( steve carell ) writes the column `` dan in real life '' giving advices for families in the new jersey standard and raises his three daughters alone . jane ( allison pill ) , the older , has just got her driving license",pos
"this is the worst film i 've seen in a long long time , never mind the fact that so many useful things keep appearing on this island `` how convenient ! ! ! ! `` , the acting is beyond poor from the outset , its like one of",neg
"to keep from being bored during `` love and sex , '' first i tried to think of all the movies this was imitative of : `` breaking up '' with russell crowe and salma hayek ( though that had a more original ending ) , `` about last night",neg
"madison is not too bad-if you like simplistic , non-offensive , `` family-friendly '' fare and , more importantly , if you know absolutely nothing about unlimited hydroplane racing . if , like me , you grew up with the sport and your heroes had names like musson , muncey",neg
"soul 's midnight stars armande assante ( simon ) who stared in `` the mambo kings '' and elizabeth bennett ( alicia milford ) . together with sexy vampire vixen , lucila sola ( iris ) , simon lures pregnant alicia and her husband charles into the netherworld of soul",pos
"i suffered the watching of this movie at sitges festival last month . if there would be a possibility of `` unfilm '' a movie to avoid its existence , this should be the first in the list . maría lidón is n't a director , she is just a",neg
"the plot was really weak and confused . this is a true oprah flick . ( in oprah 's world , all men are evil and all women are victims . )",neg
"yes i 'll say before i start commenting , this movie is incredibly underrated . sharon stone is great in her role of catherine trammell as is morrissey as dr glass . he is an analyst sent in to evaluate her after the death of a sports star . glass",pos
"what ever happened to shows with united parental figures ? the parents in this show are nearly as irresponsible as the children . instead of punishing the youngest child for being manipulative , they let her get away with murder . they ca n't ever agree on a course of",neg
"`` checking out '' is a very witty and honest portrayal of a bizarre family that happens to be jewish . judaism plays virtually no role in the film , but american jewish culture & behavior gets thoroughly sent up ... it a loving way . i wish the movie",pos
"seriously i do n't get why people are all like `` oh my god step up is the best movie ever ! ! ! '' it 's a bunch of junk ! the acting , first of all , is ridiculous , and let 's not even begin to talk",neg
"its plain to see why the makers of scary movie found it so easy to spoof these 'teen slasher ' movies . they are so unbelievably formulaic . and if valentine had been released a year or so earlier , i 'm sure they would have been spoofing this film",neg
i 'd been following this films progress for quite some time so perhaps expected a little too much . i consider both gillian anderson and danny dyer to be good at what they do and was interested to see what dan reed could come up with but unfortunately it just,neg
"at school i was taught how some shots were called and there were two directors constantly mentioned : orson welles and sergei m. eisenstein . i did n't care that much then ( i was a kid ! ) but now i know why , eisenstein is a genius and",pos
"i watched this movie for the first time a few weeks ago , and it was quite possibly one of the most boring , unfunny films i ever had the misfortune of seeing . first of all matthew modine is a terrible actor , and ruined most of the movie",neg
"this really is the most dreadful film i have ever seen . i simply have no idea how anyone has the audacity to put this on release . the production standards are atrocious . there is no pretence here at cinematography . the camera work , scripting , acting and",neg
"after seeing several movies of villaronga , i had a pretty clear opinion about him -- he concentrates too much on the personal aspect of the characters , forgetting about a rhythm of the movie . that is why , though having good critics , his movies never caught the",pos
"the movie night crossing captures the feelings experienced by the vast majority of east germans during the period 1961-89. i lived in west berlin during most of 1967 and travelled through the wall into east berlin on a weekly basis . why ? excitement , crossing a border into a",pos
"okay , i had reasonably high expectations for this . the controversial subject matter was a good concept . as a horror fan i admit i was fascinated and very excited about this . it turns out they had a great idea , but it was terribly executed . let",neg
"^^contains spoilers^^ this movie is utter crap . do not watch . there is no one in this movie to root for , or even like , except for the wife , and she wins by default . everyone is selfish , and many things happen that make no sense",neg
"first off , i really loved henry fool , which puts me in a very small pool of movie goers . parker posey is one of best actresses on-screen today . but this film was a full-out travesty . watching hartley and the actors talk about the film in the",neg
"meatballs is a classic comedy with so many laughs that it 's impossible to count . in what was merely a precursor of what was to come , murray rules the screen in what can only be described as comic mastery . tripper harrison is one of the greatest comedy",pos
"wes craven has been created a most successful killer-thriller movies of all time . after watching he 's movies , you will find your new fears . people do n't know , which wes craven 's thriller movie is the best , because they all different . in this movie",pos
"given the title , this first follow-up to quartet ( 1948 ) obviously reduces the number of w. somerset maugham stories which comprise the film . the author still turns up to introduce the episodes , but there ’ s no epilogue this time around ; by the way ,",pos
"i think that this movie was reasonbaly good . it 's kinda weird that now the olsen twins are 13 and have boyfriends and all . i enjoyed them alot when they were little kids on full house . anyway , the casting was good and the movie was somewhat",pos
"this game is the bomb and this is the 007 game of the year and should be on greatest hits . when i got agent under fire , i thought that was a good game but then nightfire came around and that was better , but now there is a",pos
"i love this show and my 11 year-old daughter and i love watching it together . it teaches good old fashioned values in a fun , adventuresome and entertaining way ( albeit with a somewhat predictable story most of the time ) . it 's also really fun to make",pos
"this movie features a pretty decent fx sequence of an earthquake for 1936. the reason you have n't seen it , is because audiences in the 30s were enamored of the `` jeanette macdonald picture ; '' in which the eponymous star warbled her way through countless songs , while",neg
"seems like some of the previous reviewers has seen another movie than what i saw earlier tonight ... actually , this movie is the reason why i registered at imdb . sure bobbie phillips can `` fight '' and for that i give this movie a 2 , but the",neg
"you have to hand it to writer-director john hughes . with enormous success behind him in the misfit-teenager/high school vein , he managed to branch out into other areas of comedy , finding in the bargain a great ally in comedian-actor john candy . here , goof-off adult candy becomes",neg
"one of the more enjoyable aspects of asian cinema ( or , indeed , most anything done outside these holier-than-thou united states ) are the permutations that crop up . in post-world war two japanese manga ( comics ) , for instance , are to be found a veritable endless",pos
"i picked up this dvd for $ 4.99 . they had put spiffy cover art on the package , along with a plot summary that had nothing to do with the movie . the acting is terrible , and the writing is worse . the only possible way this movie",neg
"`` son of the mask '' is a terrible excuse of a movie . i went to see this with my friend and i still wish we had seen `` because of winn-dixie '' instead . i must say that it is partially my fault , as i agreed to",neg
a trooper is on the side of the road making sure every1 is obeying the speed limit ( doing his job ) ; he then pulls over a woman who appears she is a mother ( there is a child in the back seat ) ; he then is telling,neg
"judy holliday struck gold in 1950 withe george cukor 's film version of `` born yesterday , '' and from that point forward , her career consisted of trying to find material good enough to allow her to strike gold again . it never happened . in `` it should",neg
"the views of earth that are claimed in this film to have been faked by nasa have recently been compared with the historical weather data for the time of apollo 11 , and show a good match between the cloud patterns in the video sequence and the actual rainfall records",neg
"one of the problems with popular culture , especially when discussing the popular culture of the 1970s , is that mass media - especially television - is usually about four years behind 'underground ' media , primarily music . many people think the 'woodstock generation '' remained important throughout the",neg
"i saw this on tv the other night or rather i flicked over to another channel every so often to watch infomercials when i could n't stand watching it any longer . it was bad . really , really bad . not `` so bad it 's good '' just",neg
"i checked this one out on dvd for a dollar so i could easily smile as this dreadful movie unfolds . every time that you think it can not get any worse , it inevitably does . the acting is absolutely horrific . the plot makes no sense at all",neg
"this movie is very scary with scenes where the devil uses gabriels horn to open heaven and pull the good angel-dogs out and imprision them on alkatraz . the devil sings and dances to a few songs about the joys of being bad , and at one point , eats",neg
"let me just give you guys some advice , if your going to watch this movie just to see a bunch of unlikable characters get slaughtered in a dozen different ways then you are going to love this movie because everyone dies a horrible death , beyond the gore however",neg
"this film was so bad it became enjoyable . if you want to see a soap opera cast decide to do an action film , this is for you ! overacting , irrelevant incidents , implausible dialogue - it has it all . the main character has a split personality",neg
"i think that pierre léaud , or his character , to be precise , is really outlandish but with grace : i also remember the chess player , and of the girl who seems to be appearing by chance in his home , something really curious ... the woman acting",pos
"as their entire career was a pale impersonation of the beatles , it is no surprise that , shortly after the great fiasco of the beatles `` magical mystery tour , '' the monkees would follow up with their own insipid and creative morass of a movie , called ``",neg
